最小完工时间 (Makespan): 11.42 小时

--- 手术安排 ---
手术 0: 房间 0, 开始 8.00h, 结束 9.05h, 护士 [10]
手术 1: 房间 1, 开始 8.00h, 结束 9.40h, 护士 [8]
手术 2: 房间 2, 开始 8.00h, 结束 9.68h, 护士 [12]
手术 3: 房间 3, 开始 9.10h, 结束 10.73h, 护士 [11]
手术 4: 房间 3, 开始 8.00h, 结束 9.10h, 护士 [2]
手术 5: 房间 6, 开始 9.57h, 结束 10.60h, 护士 [10]
手术 6: 房间 4, 开始 8.00h, 结束 9.75h, 护士 [9]
手术 7: 房间 7, 开始 8.00h, 结束 9.10h, 护士 [0]
手术 8: 房间 5, 开始 9.58h, 结束 11.22h, 护士 [8]
手术 9: 房间 9, 开始 8.00h, 结束 9.97h, 护士 [7]
手术 10: 房间 6, 开始 8.00h, 结束 9.27h, 护士 [1]
手术 11: 房间 5, 开始 8.00h, 结束 9.57h, 护士 [4]
手术 12: 房间 7, 开始 9.27h, 结束 10.15h, 护士 [6]
手术 13: 房间 4, 开始 9.75h, 结束 11.22h, 护士 [5]
手术 14: 房间 8, 开始 8.00h, 结束 9.98h, 护士 [3]
手术 15: 房间 2, 开始 9.75h, 结束 11.42h, 护士 [4]
手术 16: 房间 7, 开始 10.15h, 结束 11.20h, 护士 [3]
手术 17: 房间 1, 开始 9.47h, 结束 11.42h, 护士 [2]
手术 18: 房间 8, 开始 9.98h, 结束 10.75h, 护士 [1]
手术 19: 房间 0, 开始 9.22h, 结束 10.42h, 护士 [0]

求解时间: 0.15 秒
