最小完工时间 (Makespan): 11.22 小时

--- 手术安排 ---
手术 0: 房间 9, 开始 8.00h, 结束 9.20h, 护士 [12]
手术 1: 房间 1, 开始 8.00h, 结束 8.70h, 护士 [2]
手术 2: 房间 2, 开始 8.00h, 结束 8.50h, 护士 [0]
手术 3: 房间 8, 开始 8.00h, 结束 8.63h, 护士 [10]
手术 4: 房间 2, 开始 9.47h, 结束 11.22h, 护士 [2]
手术 5: 房间 0, 开始 8.00h, 结束 8.95h, 护士 [6]
手术 6: 房间 4, 开始 8.00h, 结束 9.18h, 护士 [3]
手术 7: 房间 6, 开始 8.00h, 结束 9.13h, 护士 [4]
手术 8: 房间 5, 开始 8.00h, 结束 8.73h, 护士 [5]
手术 9: 房间 4, 开始 9.22h, 结束 11.22h, 护士 [3]
手术 10: 房间 6, 开始 9.13h, 结束 9.70h, 护士 [8]
手术 11: 房间 8, 开始 9.78h, 结束 10.48h, 护士 [1]
手术 12: 房间 7, 开始 8.00h, 结束 9.17h, 护士 [11]
手术 13: 房间 0, 开始 9.53h, 结束 10.05h, 护士 [7]
手术 14: 房间 8, 开始 8.63h, 结束 9.18h, 护士 [1]
手术 15: 房间 5, 开始 9.08h, 结束 10.85h, 护士 [9]
手术 16: 房间 3, 开始 8.00h, 结束 9.93h, 护士 [14]
手术 17: 房间 1, 开始 8.73h, 结束 10.02h, 护士 [5]
手术 18: 房间 2, 开始 8.58h, 结束 9.47h, 护士 [13]
手术 19: 房间 9, 开始 9.48h, 结束 11.00h, 护士 [11]

求解时间: 0.15 秒
